Asset;numbox;Open;Side;Buy_Quantity;Sell_Quantity;Buy_Price;Sell_Price;Operation_Result;Interval_Result_ticks;Accum_Total
WINFUT;19;09/10/2023 10:04:16;Venda;1;-1;114125;113920;-41;-205;-41
WINFUT;34;09/10/2023 10:34:47;Compra;1;-1;113820;113950;26;130;-15
WINFUT;36;09/10/2023 10:36:33;Venda;1;-1;113920;114020;20;100;5
WINFUT;46;09/10/2023 10:52:06;Compra;1;-1;113820;113950;26;130;31
WINFUT;54;09/10/2023 11:25:04;Venda;1;-1;113915;114020;21;105;52
WINFUT;65;09/10/2023 12:04:54;Compra;1;-1;113920;113990;14;70;66
WINFUT;66;09/10/2023 12:06:31;Venda;1;-1;113970;114020;10;50;76
WINFUT;67;09/10/2023 12:07:27;Compra;1;-1;113920;114020;20;100;96
WINFUT;68;09/10/2023 12:08:31;Venda;1;-1;113985;114020;7;35;103
WINFUT;73;09/10/2023 12:32:19;Compra;1;-1;113920;114110;38;190;141
WINFUT;77;09/10/2023 12:57:48;Venda;1;-1;114030;114120;18;90;159
WINFUT;78;09/10/2023 13:00:41;Compra;1;-1;114020;114050;6;30;165
WINFUT;79;09/10/2023 13:01:15;Venda;1;-1;114020;114120;20;100;185
WINFUT;105;09/10/2023 15:19:48;Compra;1;-1;115320;115115;-41;-205;144
WINFUT;122;09/10/2023 17:35:15;Venda;1;-1;115690;115620;-14;-70;144
WINFUT;11;10/10/2023 09:06:07;Compra;1;-1;116000;115795;-41;-205;-41
WINFUT;37;10/10/2023 10:32:18;Venda;1;-1;116020;116200;36;180;-5
WINFUT;39;10/10/2023 10:36:24;Compra;1;-1;116000;116120;24;120;19
WINFUT;43;10/10/2023 10:44:28;Venda;1;-1;116405;116200;-41;-205;-22
WINFUT;57;10/10/2023 11:51:36;Compra;1;-1;116800;116595;-41;-205;-63
WINFUT;79;10/10/2023 16:07:52;Venda;1;-1;116950;117000;10;50;-53
WINFUT;84;10/10/2023 17:20:23;Compra;1;-1;116900;116760;-28;-140;-53
WINFUT;13;11/10/2023 09:30:01;Compra;1;-1;117395;117190;-41;-205;-41
WINFUT;44;11/10/2023 11:19:09;Venda;1;-1;117100;116895;-41;-205;-82
WINFUT;55;11/10/2023 11:59:00;Compra;1;-1;116795;116590;-41;-205;-123
WINFUT;69;11/10/2023 13:58:46;Venda;1;-1;116800;116595;-41;-205;-164
WINFUT;14;13/10/2023 09:29:39;Venda;1;-1;116905;116700;-41;-205;-41
WINFUT;25;13/10/2023 10:21:47;Compra;1;-1;116600;116800;40;200;-1
WINFUT;31;13/10/2023 10:32:55;Venda;1;-1;116670;116800;26;130;25
WINFUT;51;13/10/2023 11:06:46;Compra;1;-1;116800;116595;-41;-205;-16
WINFUT;71;13/10/2023 12:09:27;Venda;1;-1;116715;116800;17;85;1
WINFUT;72;13/10/2023 12:11:41;Compra;1;-1;116700;116735;7;35;8
WINFUT;80;13/10/2023 13:26:34;Venda;1;-1;116500;116700;40;200;48
WINFUT;87;13/10/2023 14:14:20;Compra;1;-1;116400;116195;-41;-205;7
WINFUT;100;13/10/2023 15:12:46;Venda;1;-1;115845;116100;51;255;58
WINFUT;103;13/10/2023 15:35:59;Compra;1;-1;115800;115900;20;100;78
WINFUT;104;13/10/2023 15:41:37;Venda;1;-1;115845;115900;11;55;89
WINFUT;105;13/10/2023 15:47:53;Compra;1;-1;115800;115860;12;60;101
WINFUT;106;13/10/2023 15:58:32;Venda;1;-1;116105;115900;-41;-205;60
WINFUT;114;13/10/2023 17:11:54;Compra;1;-1;115700;115875;35;175;95
WINFUT;116;13/10/2023 17:49:33;Venda;1;-1;115875;115900;5;25;95
WINFUT;3;06/11/2023 09:00:33;Compra;1;-1;119750;119870;24;120;24
WINFUT;7;06/11/2023 09:01:11;Venda;1;-1;119850;119950;20;100;44
WINFUT;13;06/11/2023 09:10:42;Compra;1;-1;119750;120020;54;270;98
WINFUT;20;06/11/2023 10:01:11;Venda;1;-1;119950;120050;20;100;118
WINFUT;21;06/11/2023 10:06:30;Compra;1;-1;119950;119745;-41;-205;77
WINFUT;38;06/11/2023 11:02:19;Venda;1;-1;119650;119850;40;200;117
WINFUT;48;06/11/2023 11:29:01;Compra;1;-1;119650;119750;20;100;137
WINFUT;63;06/11/2023 12:35:10;Venda;1;-1;119955;119750;-41;-205;96
WINFUT;74;06/11/2023 13:21:07;Compra;1;-1;119650;119850;40;200;136
WINFUT;93;06/11/2023 16:31:58;Venda;1;-1;119860;119750;-22;-110;136
WINFUT;12;07/11/2023 09:30:37;Venda;1;-1;119555;119350;-41;-205;-41
WINFUT;48;07/11/2023 11:31:05;Compra;1;-1;120350;120145;-41;-205;-82
WINFUT;70;07/11/2023 13:03:56;Venda;1;-1;120250;120350;20;100;-62
WINFUT;74;07/11/2023 13:29:08;Compra;1;-1;120150;120350;40;200;-22
WINFUT;77;07/11/2023 13:46:57;Venda;1;-1;120250;120450;40;200;18
WINFUT;81;07/11/2023 14:00:57;Compra;1;-1;120250;120370;24;120;42
WINFUT;85;07/11/2023 15:05:01;Venda;1;-1;120655;120450;-41;-205;1
WINFUT;96;07/11/2023 17:04:05;Compra;1;-1;120550;120445;-21;-105;1
WINFUT;12;08/11/2023 09:50:53;Venda;1;-1;120410;120610;40;200;40
WINFUT;40;08/11/2023 11:30:26;Compra;1;-1;120810;120605;-41;-205;-1
WINFUT;85;08/11/2023 14:45:52;Venda;1;-1;119755;119910;31;155;30
WINFUT;16;09/11/2023 10:15:48;Compra;1;-1;120545;120740;39;195;39
WINFUT;31;09/11/2023 10:54:02;Venda;1;-1;120645;120845;40;200;79
WINFUT;35;09/11/2023 11:05:23;Compra;1;-1;120645;120750;21;105;100
WINFUT;37;09/11/2023 11:11:31;Venda;1;-1;121050;120845;-41;-205;59
WINFUT;56;09/11/2023 12:04:49;Compra;1;-1;121145;121300;31;155;90
WINFUT;99;09/11/2023 15:12:29;Venda;1;-1;120450;120245;-41;-205;49
WINFUT;118;09/11/2023 16:00:55;Compra;1;-1;120545;120340;-41;-205;8
WINFUT;149;09/11/2023 17:04:15;Venda;1;-1;120050;119845;-41;-205;-33
WINFUT;14;10/11/2023 09:06:11;Compra;1;-1;120545;120730;37;185;37
WINFUT;16;10/11/2023 09:14:35;Venda;1;-1;120700;120745;9;45;46
WINFUT;17;10/11/2023 09:16:23;Compra;1;-1;120645;120810;33;165;79
WINFUT;21;10/11/2023 09:26:35;Venda;1;-1;120745;120845;20;100;99
WINFUT;28;10/11/2023 10:13:47;Compra;1;-1;120745;120945;40;200;139
WINFUT;33;10/11/2023 10:18:08;Venda;1;-1;120945;121045;20;100;159
WINFUT;36;10/11/2023 10:23:02;Compra;1;-1;120945;121090;29;145;188
WINFUT;40;10/11/2023 10:30:09;Venda;1;-1;121045;121145;20;100;208
WINFUT;45;10/11/2023 10:43:07;Compra;1;-1;121045;121165;24;120;232
WINFUT;47;10/11/2023 10:51:27;Venda;1;-1;121145;121245;20;100;252
WINFUT;49;10/11/2023 11:01:12;Compra;1;-1;121045;121245;40;200;292
WINFUT;52;10/11/2023 11:14:47;Venda;1;-1;121205;121345;28;140;320
WINFUT;57;10/11/2023 11:31:04;Compra;1;-1;121245;121425;36;180;356
WINFUT;63;10/11/2023 11:45:33;Venda;1;-1;121355;121445;18;90;374
WINFUT;64;10/11/2023 11:58:34;Compra;1;-1;121345;121140;-41;-205;333
WINFUT;80;10/11/2023 12:47:49;Venda;1;-1;121790;121545;-49;-245;284
WINFUT;98;10/11/2023 15:08:56;Compra;1;-1;121745;121540;-41;-205;243
WINFUT;117;10/11/2023 17:37:58;Venda;1;-1;121850;121845;-1;-5;243
WINFUT;22;13/11/2023 11:05:23;Venda;1;-1;121235;121355;24;120;24
WINFUT;26;13/11/2023 11:32:09;Compra;1;-1;121155;120950;-41;-205;-17
WINFUT;32;13/11/2023 11:45:35;Venda;1;-1;121085;121155;14;70;-3
WINFUT;33;13/11/2023 11:50:49;Compra;1;-1;121055;121120;13;65;10
WINFUT;34;13/11/2023 11:52:07;Venda;1;-1;121060;121155;19;95;29
WINFUT;35;13/11/2023 11:53:26;Compra;1;-1;121055;121080;5;25;34
WINFUT;38;13/11/2023 12:14:54;Venda;1;-1;121360;121155;-41;-205;-7
WINFUT;55;13/11/2023 14:10:50;Compra;1;-1;121255;121355;20;100;13
WINFUT;70;13/11/2023 15:14:04;Venda;1;-1;121245;121355;22;110;35
WINFUT;79;13/11/2023 16:22:47;Compra;1;-1;121255;121385;26;130;61
WINFUT;81;13/11/2023 16:30:16;Venda;1;-1;121660;121455;-41;-205;20
WINFUT;8;16/11/2023 09:08:23;Compra;1;-1;124475;124270;-41;-205;-41
WINFUT;22;16/11/2023 10:20:24;Venda;1;-1;124680;124475;-41;-205;-82
WINFUT;37;16/11/2023 10:38:15;Compra;1;-1;124775;125000;45;225;-37
WINFUT;42;16/11/2023 10:57:05;Venda;1;-1;124955;125075;24;120;-13
WINFUT;48;16/11/2023 11:15:23;Compra;1;-1;125075;124870;-41;-205;-54
WINFUT;59;16/11/2023 11:44:10;Venda;1;-1;125010;125175;33;165;-21
WINFUT;61;16/11/2023 11:51:12;Compra;1;-1;124975;124770;-41;-205;-62
WINFUT;75;16/11/2023 12:34:26;Venda;1;-1;124855;124975;24;120;-38
WINFUT;83;16/11/2023 13:23:08;Compra;1;-1;124775;124570;-41;-205;-79
WINFUT;93;16/11/2023 14:11:31;Venda;1;-1;125180;124975;-41;-205;-120
WINFUT;8;17/11/2023 10:01:31;Venda;1;-1;125840;126035;39;195;39
WINFUT;12;17/11/2023 10:20:56;Compra;1;-1;125835;125630;-41;-205;-2
WINFUT;36;17/11/2023 11:42:47;Venda;1;-1;125735;125835;20;100;18
WINFUT;49;17/11/2023 12:58:12;Compra;1;-1;125935;126125;38;190;56
WINFUT;55;17/11/2023 14:13:04;Venda;1;-1;126340;126135;-41;-205;15
WINFUT;66;17/11/2023 15:46:10;Compra;1;-1;126235;126030;-41;-205;-26
WINFUT;22;02/01/2024 10:35:26;Venda;1;-1;135055;134850;-41;-205;-41
WINFUT;22;02/01/2024 10:35:26;Venda;1;-1;135055;134850;-41;-205;-41
WINFUT;46;02/01/2024 11:46:03;Compra;1;-1;135050;135085;7;35;-34
WINFUT;46;02/01/2024 11:46:03;Compra;1;-1;135050;135085;7;35;-34
WINFUT;47;02/01/2024 11:46:37;Venda;1;-1;135050;135150;20;100;-14
WINFUT;47;02/01/2024 11:46:37;Venda;1;-1;135050;135150;20;100;-14
WINFUT;49;02/01/2024 11:48:16;Compra;1;-1;134950;135110;32;160;18
WINFUT;49;02/01/2024 11:48:16;Compra;1;-1;134950;135110;32;160;18
WINFUT;51;02/01/2024 11:51:36;Venda;1;-1;135050;135150;20;100;38
WINFUT;51;02/01/2024 11:51:36;Venda;1;-1;135050;135150;20;100;38
WINFUT;59;02/01/2024 12:11:56;Compra;1;-1;134950;134745;-41;-205;-3
WINFUT;59;02/01/2024 12:11:56;Compra;1;-1;134950;134745;-41;-205;-3
WINFUT;72;02/01/2024 13:13:07;Venda;1;-1;134515;134650;27;135;24
WINFUT;72;02/01/2024 13:13:07;Venda;1;-1;134515;134650;27;135;24
WINFUT;76;02/01/2024 13:38:37;Compra;1;-1;134450;134550;20;100;44
WINFUT;76;02/01/2024 13:38:37;Compra;1;-1;134450;134550;20;100;44
WINFUT;80;02/01/2024 13:53:39;Venda;1;-1;134855;134650;-41;-205;3
WINFUT;80;02/01/2024 13:53:39;Venda;1;-1;134855;134650;-41;-205;3
WINFUT;90;02/01/2024 15:04:06;Compra;1;-1;134450;134245;-41;-205;-38
WINFUT;90;02/01/2024 15:04:06;Compra;1;-1;134450;134245;-41;-205;-38
WINFUT;112;02/01/2024 17:02:05;Venda;1;-1;134055;133850;-41;-205;-79
WINFUT;112;02/01/2024 17:02:05;Venda;1;-1;134055;133850;-41;-205;-79
WINFUT;21;03/01/2024 10:52:35;Compra;1;-1;133825;134025;40;200;40
WINFUT;21;03/01/2024 10:52:35;Compra;1;-1;133825;134025;40;200;40
WINFUT;28;03/01/2024 11:22:28;Venda;1;-1;134130;133925;-41;-205;-1
WINFUT;28;03/01/2024 11:22:28;Venda;1;-1;134130;133925;-41;-205;-1
WINFUT;44;03/01/2024 11:59:08;Compra;1;-1;134125;134425;60;300;59
WINFUT;44;03/01/2024 11:59:08;Compra;1;-1;134125;134425;60;300;59
WINFUT;48;03/01/2024 12:00:12;Venda;1;-1;134325;134525;40;200;99
WINFUT;48;03/01/2024 12:00:12;Venda;1;-1;134325;134525;40;200;99
WINFUT;57;03/01/2024 12:07:54;Compra;1;-1;134425;134510;17;85;116
WINFUT;57;03/01/2024 12:07:54;Compra;1;-1;134425;134510;17;85;116
WINFUT;58;03/01/2024 12:08:36;Venda;1;-1;134495;134525;6;30;122
WINFUT;58;03/01/2024 12:08:36;Venda;1;-1;134495;134525;6;30;122
WINFUT;59;03/01/2024 12:09:24;Compra;1;-1;134425;134575;30;150;152
WINFUT;59;03/01/2024 12:09:24;Compra;1;-1;134425;134575;30;150;152
WINFUT;65;03/01/2024 12:21:21;Venda;1;-1;134475;134625;30;150;182
WINFUT;65;03/01/2024 12:21:21;Venda;1;-1;134475;134625;30;150;182
WINFUT;71;03/01/2024 12:36:25;Compra;1;-1;134425;134625;40;200;222
WINFUT;71;03/01/2024 12:36:25;Compra;1;-1;134425;134625;40;200;222
WINFUT;83;03/01/2024 13:02:58;Venda;1;-1;134525;134625;20;100;242
WINFUT;83;03/01/2024 13:02:58;Venda;1;-1;134525;134625;20;100;242
WINFUT;85;03/01/2024 13:22:37;Compra;1;-1;134425;134585;32;160;274
WINFUT;85;03/01/2024 13:22:37;Compra;1;-1;134425;134585;32;160;274
WINFUT;93;03/01/2024 14:23:58;Venda;1;-1;134830;134625;-41;-205;233
WINFUT;93;03/01/2024 14:23:58;Venda;1;-1;134830;134625;-41;-205;233
WINFUT;108;03/01/2024 15:52:27;Compra;1;-1;134725;134925;40;200;273
WINFUT;108;03/01/2024 15:52:27;Compra;1;-1;134725;134925;40;200;273
WINFUT;119;03/01/2024 16:28:11;Venda;1;-1;134800;135025;45;225;318
WINFUT;119;03/01/2024 16:28:11;Venda;1;-1;134800;135025;45;225;318
WINFUT;122;03/01/2024 16:41:07;Compra;1;-1;134725;134520;-41;-205;277
WINFUT;122;03/01/2024 16:41:07;Compra;1;-1;134725;134520;-41;-205;277
WINFUT;28;04/01/2024 11:14:53;Venda;1;-1;133255;133050;-41;-205;-41
WINFUT;28;04/01/2024 11:14:53;Venda;1;-1;133255;133050;-41;-205;-41
