log,arquivo_origem,client_info,tradetime,log_info,latency_info,date,grupo
2024-10-02 09:25:30 | DEBUG | Latency - 50514490205WINV24medExp - TradeTime 2024-10-02 09:25:28.595000 - Buy Order Done 2024-10-02 09:25:30.447000,latency.2024-10-02_09-03-49_588609.log,50514490205WINV24medExp,2024-10-02 09:25:28.595000,Buy Order Done,2024-10-02 09:25:30.447000,2024-10-02,49620
2024-10-02 09:29:53 | DEBUG | Latency - 50514490205WINV24medExp - TradeTime 2024-10-02 09:29:52.663000 - Sell Order Done 2024-10-02 09:29:53.810000,latency.2024-10-02_09-03-49_588609.log,50514490205WINV24medExp,2024-10-02 09:29:52.663000,Sell Order Done,2024-10-02 09:29:53.810000,2024-10-02,63459
2024-10-02 10:15:11 | DEBUG | Latency - 50514490205WINV24medExp - TradeTime 2024-10-02 10:15:10.962000 - Buy Order Done 2024-10-02 10:15:11.786000,latency.2024-10-02_09-53-33_849074.log,50514490205WINV24medExp,2024-10-02 10:15:10.962000,Buy Order Done,2024-10-02 10:15:11.786000,2024-10-02,165511
2024-10-02 10:24:14 | DEBUG | Latency - 50514490205WINV24medExp - TradeTime 2024-10-02 10:24:10.656000 - Sell Order Done 2024-10-02 10:24:14.201999,latency.2024-10-02_09-53-33_849074.log,50514490205WINV24medExp,2024-10-02 10:24:10.656000,Sell Order Done,2024-10-02 10:24:14.201999,2024-10-02,198133
2024-10-02 10:25:24 | DEBUG | Latency - 50514490205WINV24medExp - TradeTime 2024-10-02 10:25:23.704000 - Buy Order Done 2024-10-02 10:25:24.393000,latency.2024-10-02_09-53-33_849074.log,50514490205WINV24medExp,2024-10-02 10:25:23.704000,Buy Order Done,2024-10-02 10:25:24.393000,2024-10-02,204911
2024-10-02 10:29:05 | DEBUG | Latency - 50514490205WINV24medExp - TradeTime 2024-10-02 10:29:05.216000 - Sell Order Done 2024-10-02 10:29:05.672999,latency.2024-10-02_09-53-33_849074.log,50514490205WINV24medExp,2024-10-02 10:29:05.216000,Sell Order Done,2024-10-02 10:29:05.672999,2024-10-02,212999
2024-10-02 10:32:46 | DEBUG | Latency - 50514490205WINV24medExp - TradeTime 2024-10-02 10:32:45.942000 - Buy Order Done 2024-10-02 10:32:46.307001,latency.2024-10-02_10-29-22_422794.log,50514490205WINV24medExp,2024-10-02 10:32:45.942000,Buy Order Done,2024-10-02 10:32:46.307001,2024-10-02,223842
2024-10-02 11:11:24 | DEBUG | Latency - 50514490205WINV24medExp - TradeTime 2024-10-02 11:11:23.578000 - Sell Order Done 2024-10-02 11:11:24.699000,latency.2024-10-02_11-07-42_971580.log,50514490205WINV24medExp,2024-10-02 11:11:23.578000,Sell Order Done,2024-10-02 11:11:24.699000,2024-10-02,320894
2024-10-02 11:27:18 | DEBUG | Latency - 50514490205WINV24medExp - TradeTime 2024-10-02 11:27:18.040000 - Buy Order Done 2024-10-02 11:27:18.206000,latency.2024-10-02_11-07-42_971580.log,50514490205WINV24medExp,2024-10-02 11:27:18.040000,Buy Order Done,2024-10-02 11:27:18.206000,2024-10-02,348040
2024-10-02 12:36:21 | DEBUG | Latency - 50514490205WINV24medExp - TradeTime 2024-10-02 12:36:21.663000 - Sell Order Done 2024-10-02 12:36:22.120000,latency.2024-10-02_12-09-31_333757.log,50514490205WINV24medExp,2024-10-02 12:36:21.663000,Sell Order Done,2024-10-02 12:36:22.120000,2024-10-02,450045
