Asset,Open,Close,Operation_Time,Buy_Quantity,Sell_Quantity,Side,Buy_Price,Sell_Price,Market_Price,Operation_Result,Interval_Result_ticks,Accumulated_Total,Day_Total,Date,BT_Operation,BT_Buy_Price,BT_Sell_Price,BT_Operation_Result,Buy_slippage,Sell_slippage,Total_Slippage,finDiff
WINQ24,07/08/2024 10:03,07/08/2024 10:16,00:13:24,1,1,C,127305,127085,133510,-44,-220,-44,-44,07/08/2024,Compra,127300,127095,-41,-5,10,5,3
WINQ24,07/08/2024 10:58,07/08/2024 11:00,00:01:45,1,1,V,127485,127610,133510,25,125,-19,-19,07/08/2024,Venda,127480,127600,24,-5,-10,-15,-1
WINQ24,07/08/2024 11:02,07/08/2024 11:15,00:12:59,1,1,C,127400,127200,133510,-40,-200,-59,-59,07/08/2024,Compra,127400,127195,-41,0,-5,-5,-1
WINQ24,07/08/2024 12:51,07/08/2024 13:43,00:51:09,1,1,V,127205,127300,133510,19,95,-40,-40,07/08/2024,Venda,127200,127300,20,-5,0,-5,1
WINQ24,07/08/2024 13:50,07/08/2024 14:09,00:19:50,1,1,C,127115,126890,133510,-45,-225,-85,-85,07/08/2024,Compra,127100,126895,-41,-15,5,-10,4
WINQ24,07/08/2024 15:00,07/08/2024 15:06,00:05:48,1,1,V,126990,127095,133510,21,105,-64,-64,07/08/2024,Venda,126985,127100,23,-5,5,0,2
WINQ24,07/08/2024 15:07,07/08/2024 15:10,00:02:40,1,1,C,126900,127000,133510,20,100,-44,-44,07/08/2024,Compra,126900,127000,20,0,0,0,0
WINQ24,07/08/2024 15:26,07/08/2024 15:58,00:32:20,1,1,V,127300,127095,133510,-41,-205,-85,-85,07/08/2024,Venda,127305,127100,-41,5,5,10,0
WINQ24,08/08/2024 09:30,08/08/2024 09:40,00:09:26,1,1,V,127795,127895,133510,20,100,-65,20,08/08/2024,Venda,127785,127900,23,-10,5,-5,3
WINQ24,08/08/2024 09:48,08/08/2024 10:03,00:15:14,1,1,C,127710,127890,133510,36,180,-29,56,08/08/2024,Compra,127700,127900,40,-10,10,0,4
WINQ24,08/08/2024 10:05,08/08/2024 10:10,00:04:34,1,1,V,127845,128005,133510,32,160,3,88,08/08/2024,Venda,127845,128000,31,0,-5,-5,-1
WINQ24,08/08/2024 10:12,08/08/2024 10:21,00:08:56,1,1,C,127810,127965,133510,31,155,34,119,08/08/2024,Compra,127800,127970,34,-10,5,-5,3
WINQ24,08/08/2024 10:21,08/08/2024 10:30,00:09:29,1,1,V,127980,127995,133510,3,15,37,122,08/08/2024,Venda,127970,128000,6,-10,5,-5,3
WINQ24,08/08/2024 10:44,08/08/2024 10:46,00:02:06,1,1,C,128105,128185,133510,16,80,53,138,08/08/2024,Compra,128100,128190,18,-5,5,0,2
WINQ24,08/08/2024 10:46,08/08/2024 10:46,00:00:02,1,1,V,128195,128200,133510,1,5,54,139,08/08/2024,Venda,128190,128200,2,-5,0,-5,1
WINQ24,08/08/2024 15:51,08/08/2024 17:39,01:47:27,1,1,C,128800,129050,133510,50,250,104,189,08/08/2024,Compra,128800,129060,52,0,10,10,2
WINQ24,09/08/2024 09:29,09/08/2024 09:30,00:00:46,1,1,V,129010,129040,133510,6,30,110,6,09/08/2024,Venda,129005,129035,6,-5,-5,-10,0
WINQ24,09/08/2024 10:27,09/08/2024 10:42,00:14:15,1,1,C,129540,129330,133510,-42,-210,68,-36,09/08/2024,Compra,129535,129330,-41,-5,0,-5,1
WINQ24,09/08/2024 11:25,09/08/2024 11:42,00:16:50,1,1,V,129735,129530,133510,-41,-205,27,-77,09/08/2024,Venda,129740,129535,-41,5,5,10,0
WINQ24,09/08/2024 14:42,09/08/2024 17:10,02:28:14,1,1,C,130540,130900,133510,72,360,99,-5,09/08/2024,Compra,130535,130910,75,-5,10,5,3
WINQ24,09/08/2024 17:12,09/08/2024 17:50,00:37:54,1,1,V,131090,130930,133510,-32,-160,67,-37,09/08/2024,Venda,131140,130935,-41,50,5,55,-9
WINQ24,12/08/2024 09:06,12/08/2024 09:41,00:34:52,1,1,V,131605,131395,133510,-42,-210,25,-42,12/08/2024,Venda,131605,131400,-41,0,5,5,1
WINQ24,12/08/2024 10:07,12/08/2024 10:59,00:52:09,1,1,C,131505,131295,133510,-42,-210,-17,-84,12/08/2024,Compra,131500,131295,-41,-5,0,-5,1
WINQ24,12/08/2024 13:55,12/08/2024 14:00,00:05:33,1,1,V,131605,131790,133510,37,185,20,-47,12/08/2024,Venda,131600,131800,40,-5,10,5,3
WINQ24,12/08/2024 14:46,12/08/2024 15:09,00:23:16,1,1,C,131520,131300,133510,-44,-220,-24,-91,12/08/2024,Compra,131500,131295,-41,-20,-5,-25,3
WINQ24,13/08/2024 10:18,13/08/2024 10:26,00:07:48,1,1,C,131830,132125,133510,59,295,35,59,13/08/2024,Compra,131820,132120,60,-10,-5,-15,1
WINQ24,13/08/2024 10:44,13/08/2024 10:54,00:10:00,1,1,V,132130,132225,133510,19,95,54,78,13/08/2024,Venda,132120,132220,20,-10,-5,-15,1
WINQ24,13/08/2024 11:00,13/08/2024 11:00,00:00:20,1,1,C,132135,132195,133510,12,60,66,90,13/08/2024,Compra,132120,132200,16,-15,5,-10,4
WINQ24,13/08/2024 11:00,13/08/2024 11:00,00:00:01,1,1,V,132200,132205,133510,1,5,67,91,13/08/2024,Venda,132190,132220,6,-10,15,5,5
WINQ24,13/08/2024 11:22,13/08/2024 13:52,02:29:50,1,1,C,132130,132330,133510,40,200,107,131,13/08/2024,Compra,132120,132320,40,-10,-10,-20,0
WINQ24,13/08/2024 13:52,13/08/2024 14:11,00:18:09,1,1,V,132240,132415,133510,35,175,142,166,13/08/2024,Venda,132230,132420,38,-10,5,-5,3
WINQ24,13/08/2024 14:11,13/08/2024 14:18,00:07:21,1,1,C,132230,132365,133510,27,135,169,193,13/08/2024,Compra,132220,132370,30,-10,5,-5,3
WINQ24,13/08/2024 14:19,13/08/2024 14:54,00:34:35,1,1,V,132390,132410,133510,4,20,173,197,13/08/2024,Venda,132385,132420,7,-5,10,5,3
WINQ24,13/08/2024 14:57,13/08/2024 15:39,00:41:45,1,1,C,132325,132505,133510,36,180,209,233,13/08/2024,Compra,132320,132520,40,-5,15,10,4
WINV24,15/08/2024 09:34,15/08/2024 09:52,00:18:07,1,1,C,135530,135720,136205,38,190,247,38,15/08/2024,Compra,135510,135720,42,-20,0,-20,4
WINV24,15/08/2024 09:54,15/08/2024 10:06,00:11:45,1,1,V,135700,135810,136205,22,110,269,60,15/08/2024,Venda,135695,135810,23,-5,0,-5,1
WINV24,15/08/2024 10:12,15/08/2024 10:13,00:01:19,1,1,C,135715,135805,136205,18,90,287,78,15/08/2024,Compra,135710,135810,20,-5,5,0,2
WINV24,15/08/2024 10:13,15/08/2024 10:13,00:00:01,1,1,V,135815,135805,136205,-2,-10,285,76,15/08/2024,Venda,135805,135810,1,-10,5,-5,3
